date;Leverage;No leverage;datealt;CRIX
03/10/2018;0.951285;0.816595;;
03/10/2018;0.951285;0.812752;;
03/10/2018;0.951285;0.814163;;
03/10/2018;0.951285;0.815091;;
03/10/2018;0.951285;0.814785;;
03/10/2018;0.951285;0.816189;;
03/10/2018;0.951285;0.818699;;
03/10/2018;0.951285;0.819379;;
03/10/2018;0.951285;0.818607;;
03/10/2018;0.951285;0.817974;;
03/10/2018;0.951285;0.815503;;
03/10/2018;0.951285;0.815948;;
03/10/2018;0.951285;0.815893;;
03/10/2018;0.951285;0.816597;;
03/10/2018;0.951285;0.817529;;
04/10/2018;0.951285;0.818484;;
04/10/2018;0.951285;0.817847;;
04/10/2018;0.951285;0.816934;;
04/10/2018;0.951285;0.815752;;
04/10/2018;0.951285;0.815294;;
04/10/2018;0.951285;0.81485;;
04/10/2018;0.951284;0.814102;;
04/10/2018;0.951282;0.814508;;
04/10/2018;0.951281;0.813126;;
04/10/2018;0.951281;0.812376;;
04/10/2018;0.951281;0.812321;;
04/10/2018;0.951281;0.812395;;
04/10/2018;0.951281;0.813813;;
04/10/2018;0.951281;0.812669;;
04/10/2018;0.951281;0.813006;;
04/10/2018;0.951281;0.812823;;
04/10/2018;0.951282;0.815024;;
04/10/2018;0.95128;0.814541;;
04/10/2018;0.951279;0.813124;;
04/10/2018;0.951278;0.81426;;
04/10/2018;0.951277;0.815588;;
04/10/2018;0.951277;0.814925;;
04/10/2018;0.951277;0.815848;;
04/10/2018;0.951277;0.815005;;
04/10/2018;0.951277;0.815029;;
04/10/2018;0.951276;0.814809;;
04/10/2018;0.951276;0.819036;;
04/10/2018;0.951276;0.817266;;
04/10/2018;0.951276;0.816792;;
04/10/2018;0.951275;0.81775;;
04/10/2018;0.951275;0.81649;;
04/10/2018;0.951275;0.815296;;
04/10/2018;0.951275;0.814461;;
04/10/2018;0.951275;0.814034;;
04/10/2018;0.951275;0.81337;;
04/10/2018;0.951274;0.812645;;
04/10/2018;0.951274;0.813744;;
04/10/2018;0.951274;0.813139;;
04/10/2018;0.951274;0.812791;;
