date;0.1MDD;0.4MDD;0.5MDD;datealt;CRIX
13/05/2017;2.811756;3.322712;4.599541;;
13/05/2017;2.808513;3.311519;4.578384;;
13/05/2017;2.815461;3.324344;4.59372;;
13/05/2017;2.732142;3.213267;4.444738;;
13/05/2017;2.866139;3.357526;4.611787;;
13/05/2017;2.895624;3.409157;4.699938;;
13/05/2017;2.90563;3.427551;4.740386;;
13/05/2017;2.881519;3.384831;4.675744;;
13/05/2017;2.875246;3.382049;4.671295;;
13/05/2017;2.871422;3.382702;4.669201;;
13/05/2017;2.883576;3.40956;4.704304;;
13/05/2017;2.886749;3.417687;4.713249;;
13/05/2017;2.893193;3.42667;4.729099;;
13/05/2017;2.890466;3.424629;4.72431;;
13/05/2017;2.862056;3.36614;4.641579;;
13/05/2017;2.853409;3.348046;4.623501;;
13/05/2017;2.810143;3.28035;4.532681;;
13/05/2017;2.827472;3.302531;4.560245;;
13/05/2017;2.812791;3.285891;4.538881;;
13/05/2017;2.837182;3.322905;4.586253;;
13/05/2017;2.815991;3.257586;4.507322;;
13/05/2017;2.837247;3.277391;4.535373;;
13/05/2017;2.842094;3.292669;4.550842;;
14/05/2017;2.821585;3.268526;4.504904;;
14/05/2017;2.836462;3.295991;4.554403;;
14/05/2017;2.867496;3.352489;4.63757;;
14/05/2017;2.875914;3.370187;4.65948;;
14/05/2017;2.863984;3.346233;4.626729;;
14/05/2017;2.8645;3.341407;4.622377;;
14/05/2017;2.858996;3.338718;4.624755;;
14/05/2017;2.860721;3.337354;4.619111;;
14/05/2017;2.851352;3.317942;4.592397;;
14/05/2017;2.836973;3.288857;4.549985;;
14/05/2017;2.858258;3.33122;4.612405;;
14/05/2017;2.845509;3.307975;4.575945;;
14/05/2017;2.841878;3.296631;4.563556;;
14/05/2017;2.828851;3.281635;4.548818;;
14/05/2017;2.826195;3.274492;4.539739;;
14/05/2017;2.828183;3.276463;4.543731;;
14/05/2017;2.834239;3.2854;4.553997;;
14/05/2017;2.815954;3.259296;4.515769;;
14/05/2017;2.812266;3.25573;4.512071;;
14/05/2017;2.833642;3.297157;4.568923;;
14/05/2017;2.844711;3.313293;4.59745;;
14/05/2017;2.855918;3.337021;4.628971;;
14/05/2017;2.856696;3.342123;4.63815;;
14/05/2017;2.856101;3.336888;4.631979;;
14/05/2017;2.846038;3.320243;4.609474;;
14/05/2017;2.836516;3.30615;4.581853;;
14/05/2017;2.843413;3.31327;4.594064;;
14/05/2017;2.83204;3.29479;4.568561;;
14/05/2017;2.831805;3.298721;4.569111;;
14/05/2017;2.831512;3.296882;4.566727;;
14/05/2017;2.838164;3.312369;4.588372;;
14/05/2017;2.834676;3.301803;4.57241;;
14/05/2017;2.825053;3.289958;4.559093;;
14/05/2017;2.833903;3.303664;4.575115;;
14/05/2017;2.828888;3.303621;4.578867;;
14/05/2017;2.83957;3.325539;4.606055;;
14/05/2017;2.826982;3.307406;4.582285;;
14/05/2017;2.81921;3.2966;4.571419;;
14/05/2017;2.842548;3.329512;4.603997;;
14/05/2017;2.82048;3.295565;4.552895;;
14/05/2017;2.802752;3.278174;4.524935;;
14/05/2017;2.851335;3.344195;4.628683;;
14/05/2017;2.836914;3.328973;4.601722;;
14/05/2017;2.82921;3.31557;4.584031;;
14/05/2017;2.845061;3.335889;4.611;;
14/05/2017;2.839008;3.323228;4.589654;;
14/05/2017;2.83418;3.324034;4.594407;;
14/05/2017;2.824747;3.30957;4.567679;;
15/05/2017;2.829766;3.326683;4.594885;;
15/05/2017;2.730306;3.138482;4.345121;;
15/05/2017;3.282451;4.33503;6.001809;;
15/05/2017;3.28695;4.344865;6.025938;;
15/05/2017;3.299047;4.364226;6.056591;;
15/05/2017;3.311229;4.40042;6.104074;;
15/05/2017;3.322316;4.415688;6.130941;;
15/05/2017;3.315265;4.401941;6.117992;;
15/05/2017;3.32165;4.437062;6.167961;;
15/05/2017;3.355874;4.564273;6.363137;;
15/05/2017;3.345972;4.539451;6.324211;;
15/05/2017;3.337693;4.511975;6.289922;;
15/05/2017;3.338975;4.516045;6.294715;;
15/05/2017;3.367437;4.581585;6.386836;;
15/05/2017;3.392412;4.653544;6.494383;;
15/05/2017;3.404968;4.683325;6.578571;;
15/05/2017;3.418668;4.724706;6.620222;;
15/05/2017;3.443851;4.755741;6.670803;;
15/05/2017;3.413254;4.70527;6.609185;;
15/05/2017;3.412934;4.710693;6.615275;;
15/05/2017;3.391103;4.69377;6.596447;;
15/05/2017;3.390773;4.691982;6.591247;;
15/05/2017;3.402678;4.716268;6.628717;;
15/05/2017;3.447153;4.792258;6.722425;;
